fetch_date,last_updated,IndvRegUsers,TotalAadharLinkedPAN,eVerifiedReturns,TotalProcessedRefund,delta_IndvRegUsers,delta_TotalAadharLinkedPAN,delta_eVerifiedReturns,delta_TotalProcessedRefund
2026-02-01,2026-02-01,136827955,88334353,87180858,82053383,0,0,0,0
2026-02-02,2026-02-01,136827955,88334353,87180858,82053383,0,0,0,0
2026-02-03,2026-02-03,136854257,88362529,87209173,82081454,26302,28176,28315,28071
2026-02-04,2026-02-04,136866957,88376565,87223225,82082657,12700,14036,14052,1203
2026-02-05,2026-02-04,136866957,88376565,87223225,82082657,0,0,0,0
2026-02-06,2026-02-05,136879724,88390221,87236939,82086355,12767,13656,13714,3698
2026-02-07,2026-02-06,136891632,88403161,87250079,82109386,11908,12940,13140,23031
2026-02-08,2026-02-07,136901912,88413867,87260839,82129809,10280,10706,10760,20423
2026-02-09,2026-02-08,136907497,88416777,87265239,82326744,5585,2910,4400,196935
2026-02-10,2026-02-09,136920378,88429856,87280393,82558550,12881,13079,15154,231806
2026-02-11,2026-02-10,136933037,88443034,87300690,82826905,12659,13178,20297,268355
2026-02-12,2026-02-11,136944861,88455804,87313706,82958694,11824,12770,13016,131789
2026-02-13,2026-02-12,136958052,88455804,87313706,83528143,13191,0,0,569449
2026-02-14,2026-02-13,136959905,88474177,87335583,84225105,1853,18373,21877,696962
2026-02-15,2026-02-14,136973321,88489007,87350425,84225105,13416,14830,14842,0
2026-02-16,2026-02-15,136977589,88491855,87353277,84225105,4268,2848,2852,0
2026-02-17,2026-02-16,136991279,88506249,87368316,84411073,13690,14394,15039,185968
2026-02-18,2026-02-17,137005550,88519356,87381878,84442746,14271,13107,13562,31673
2026-02-19,2026-02-18,137018711,88535340,87398625,84525896,13161,15984,16747,83150
2026-02-20,2026-02-19,137030862,88547675,87411117,84589725,12151,12335,12492,63829
2026-02-21,2026-02-20,137042218,88562564,87426069,84598387,11356,14889,14952,8662
2026-02-22,2026-02-21,137053271,88573091,87436623,84598395,11053,10527,10554,8
2026-02-23,2026-02-22,137057986,88577045,87440588,84598395,4715,3954,3965,0
2026-02-24,2026-02-23,137072006,88593708,87457542,84667896,14020,16663,16954,69501
2026-02-25,2026-02-24,137086208,88610170,87474307,84700162,14202,16462,16765,32266
2026-02-26,2026-02-25,137099921,88626034,87490233,84707511,13713,15864,15926,7349
2026-02-27,2026-02-26,137113186,88641782,87506033,84712587,13265,15748,15800,5076
2026-02-28,2026-02-27,137125975,88657586,87521974,84759875,12789,15804,15941,47288
2026-03-01,2026-02-28,137136867,88671119,87535525,84765275,10892,13533,13551,5400
2026-03-02,2026-03-01,137141699,88673930,87538337,84765275,4832,2811,2812,0
2026-03-03,2026-03-02,137152427,88685940,87550385,84769746,10728,12010,12048,4471
2026-03-04,2026-03-03,137160398,88694368,87558846,84778882,7971,8428,8461,9136
2026-03-05,2026-03-04,137167011,88700886,87565684,84798609,6613,6518,6838,19727
