fetch_timestamp,last_updated,IndvRegUsers,TotalAadharLinkedPAN,eVerifiedReturns,TotalProcessedRefund
2026-02-09 09:27:24,2026-02-08,136907497,88416777,87265239,82326744
2026-02-09 09:48:51,2026-02-08,136907497,88416777,87265239,82326744
2026-02-09 18:21:21,2026-02-08,136907497,88416777,87265239,82326744
2026-02-10 08:59:26,2026-02-09,136920378,88429856,87280393,82558550
2026-02-10 18:21:25,2026-02-09,136920378,88429856,87280393,82558550
2026-02-11 09:02:59,2026-02-10,136933037,88443034,87300690,82826905
2026-02-11 09:05:12,2026-02-10,136933037,88443034,87300690,82826905
2026-02-11 18:21:08,2026-02-10,136933037,88443034,87300690,82826905
2026-02-12 08:54:14,2026-02-11,136944861,88455804,87313706,82958694
2026-02-12 09:02:45,2026-02-11,136944861,88455804,87313706,82958694
2026-02-12 18:21:05,2026-02-11,136944861,88455804,87313706,82958694
2026-02-14 08:52:05,2026-02-12,136958052,88455804,87313706,83528143
2026-02-14 09:09:12,2026-02-13,136959905,88474177,87335583,84225105
2026-02-14 18:19:28,2026-02-13,136959905,88474177,87335583,84225105
2026-02-15 09:02:06,2026-02-14,136973321,88489007,87350425,84225105
2026-02-15 18:19:32,2026-02-14,136973321,88489007,87350425,84225105
2026-02-16 08:46:48,2026-02-15,136977589,88491855,87353277,84225105
2026-02-17 08:57:32,2026-02-15,136977589,88491855,87353277,84225105
2026-02-17 09:43:49,2026-02-16,136991279,88506249,87368316,84411073
2026-02-17 18:20:53,2026-02-16,136991279,88506249,87368316,84411073
2026-02-18 09:10:32,2026-02-17,137005550,88519356,87381878,84442746
2026-02-18 18:20:49,2026-02-17,137005550,88519356,87381878,84442746
2026-02-19 08:58:38,2026-02-18,137018711,88535340,87398625,84525896
2026-02-19 09:17:57,2026-02-18,137018711,88535340,87398625,84525896
2026-02-19 18:20:49,2026-02-18,137018711,88535340,87398625,84525896
2026-02-20 09:36:14,2026-02-19,137030862,88547675,87411117,84589725
2026-02-20 18:20:15,2026-02-19,137030862,88547675,87411117,84589725
2026-02-21 08:50:19,2026-02-19,137030862,88547675,87411117,84589725
2026-02-21 10:34:29,2026-02-20,137042218,88562564,87426069,84598387
2026-02-21 18:19:08,2026-02-20,137042218,88562564,87426069,84598387
2026-02-22 08:57:53,2026-02-20,137042218,88562564,87426069,84598387
2026-02-22 09:42:33,2026-02-21,137053271,88573091,87436623,84598395
2026-02-22 18:19:20,2026-02-21,137053271,88573091,87436623,84598395
